,,,,,,EXTINTORES DE PLANTA,,,,,,,,,,,,,,,,
,Orden,LOTE,RESPONSABLE,EDIFICO,UBICACIÓN,TIPO,CLASE,CAP.,VTO DE CARGA,VTO PH,BALIZA,CARTEL EN ALTURA,DEMARCACIÓN DE PISO,NRO INTERNO,NRO FABRICACIÓN,AÑO,MARCA,ESTADO,RESERVA,ORIGEN RESERVA,VENCIMIENTO DE LA RESERVA,EMPRESA DE MANTENIMIENTO
,59,LOTE 101,,Chapisteria,Chapa - Partes Móviles,CO2,BC,3.5 Kg,11/2020,11/2023,,,,272,857008,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,60,LOTE 101,,Chapisteria,Chapa - Partes Móviles,CO2,BC,3.5 Kg,11/2020,11/2023,,,,273,857011,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,61,LOTE 101,,Chapisteria,Chapa - Partes Móviles,CO2,BC,3.5 Kg,11/2020,11/2023,,,,274,857026,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,62,LOTE 101,,Chapisteria,Chapa - Partes Móviles,CO2,BC,3.5 Kg,11/2020,11/2023,,,,275,857035,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,63,LOTE 101,,Chapisteria,Chapa - Partes Móviles,CO2,BC,3.5 Kg,11/2020,11/2024,,,,276,857039,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,64,LOTE 101,,Chapisteria,Chapa - Partes Móviles,CO2,BC,3.5 Kg,11/2020,11/2023,,,,277,857040,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,65,LOTE 101,,Chapisteria,Chapa - Partes Móviles,CO2,BC,3.5 Kg,11/2020,11/2023,,,,278,857042,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,66,LOTE 101,,Chapisteria,Chapa- Col C/D-16 Piso Técnico,CO2,BC,3.5 Kg,12/2020,12/2023,,,,279,857006,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,67,LOTE 101,,Chapisteria,Chapa- Col E/16 Piso Técnico,CO2,BC,3.5 Kg,12/2020,12/2023,,,,280,857124,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,68,LOTE 101,,Pintura,Sub estacion de Pintura,CO2,BC,10 Kg,12/2020,12/2023,,,,281,860183,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,69,LOTE 101,,Pintura,Sub estacion de Pintura,CO2,BC,10 Kg,12/2020,12/2023,,,,282,859786,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,70,LOTE 101,,Chapisteria,Sub estacion Chapa PM,CO2,BC,10 Kg,12/2020,12/2023,,,,283,858751,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,71,LOTE 101,,Chapisteria,Sub estacion Chapa PM,CO2,BC,10 Kg,12/2020,12/2023,,,,284,858789,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,72,LOTE 101,,Chapisteria,Sub estacion Chapa PM,CO2,BC,10 Kg,12/2020,12/2023,,,,285,858793,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,73,LOTE 101,,Pintura,Nivel 00 Col. A/19 Montacarga,CO2,BC,5 Kg,7/2021,7/2021,,,,286,1568,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,74,LOTE 101,,Pintura,Nivel 00 - Col. C-D/18,AFFF,AB,10 Lts,9/2020,9/2023,,,,287,468086,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,75,LOTE 101,,Pintura,Nivel 00 - Col. C-D/19,AFFF,AB,10 Lts,9/2020,9/2023,,,,288,468154,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,76,LOTE 101,,Pintura,Depósito de Fosftante,POLVO,ABC,10 Kg,9/2020,9/2023,,,,289,625255,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,77,LOTE 101,,Pintura,Depósito de Químicos - Interno,POLVO,ABC,25 Kg,5/2021,5/2023,,,,290,51973,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,78,LOTE 101,,Pintura,Depósito de Químicos - Interno,POLVO,ABC,10 Kg,9/2020,9/2023,,,,291,625267,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,79,LOTE 101,,Chapisteria,Chapa- Col. C/24 ¨Piso Técnico,CO2,BC,3.5 Kg,11/2020,11/2023,,,,292,853011,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,80,LOTE 101,,Pintura,Laboratorio de Pintura,POLVO,ABC,10 Kg,9/2020,9/2023,,,,296,625319,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,81,LOTE 101,,Pintura,Laboratorio de Pintura,POLVO,ABC,10 Kg,9/2020,9/2023,,,,297,625321,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,82,LOTE 101,,Pintura,Laboratorio de Pintura,CO2,BC,3.5 Kg,,8/2023,,,,298,855625,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,83,LOTE 101,,Pintura,Central de Pintura,AFFF,AB,25 Lts,7/2021,7/2023,,,,299,52155,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,84,LOTE 101,,Pintura,Central de Pintura,POLVO,ABC,25 Kg,7/2021,7/2023,,,,300,51893,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,85,LOTE 101,,Pintura,Nivel 00 - Col. A/02,CO2,BC,10 Kg,3/2021,7/2023,,,,301,857594,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,86,LOTE 101,,Pintura,Nivel 00 - Col. A/05,CO2,BC,3.5 Kg,,8/2023,,,,302,855601,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,87,LOTE 101,,Pintura,Nivel 00 - Col. A/08,CO2,BC,3.5 Kg,,8/2023,,,,303,855602,2018,Drago,En planta,,#N/A,#N/A,Cassaro
