,,,,,,EXTINTORES DE PLANTA,,,,,,,,,,,,,,,,
,Orden,LOTE,RESPONSABLE,EDIFICO,UBICACIÓN,TIPO,CLASE,CAP.,VTO DE CARGA,VTO PH,BALIZA,CARTEL EN ALTURA,DEMARCACIÓN DE PISO,NRO INTERNO,NRO FABRICACIÓN,AÑO,MARCA,ESTADO,RESERVA,ORIGEN RESERVA,VENCIMIENTO DE LA RESERVA,EMPRESA DE MANTENIMIENTO
,291,LOTE 101,,Chapisteria,kaizen Auto Galpon Guillotina,POLVO,ABC,5 Kg,7/2021,7/2023,,,,1093,647558,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,292,LOTE 101,,Obradores,Kaizen Auto - Galpon guillotina / dobladora,POLVO,ABC,5 Kg,7/2021,7/2023,,,,1093,647558,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,293,LOTE 101,,Obradores,Kaizen Auto - Galpon guillotina / dobladora,POLVO,ABC,5 Kg,6/2021,6/2024,,,,1094,886723,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,294,LOTE 101,,Obradores,Kaizen Auto - Deposito de gases,POLVO,ABC,10 Kg,9/2020,9/2023,,,,1095,676704,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,295,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,10 Kg,12/2020,12/2023,,,,1096,657954,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,296,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,10 Kg,12/2021,12/2023,,,,1097,657952,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,297,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,10 Kg,12/2021,12/2023,,,,1098,657790,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,298,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,5 Kg,6/2021,6/2021,,,,1099,5922,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,299,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,5 Kg,6/2021,6/2021,,,,1100,4710,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,300,LOTE 101,,Pintura,Central Hidrica Norte,CO2,BC,5 Kg,8/2021,8/2023,,,,1070,855746,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,301,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,5 Kg,6/2021,6/2021,,,,1102,4814,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,302,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,5 Kg,6/2021,6/2021,,,,1103,4392,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,303,LOTE 101,,Pintura,Depósito Químicos Externo,AFFF,AB,25 Lts,,5/2023,,,,1104,52139,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,304,LOTE 101,,Pintura,Depósito Químicos Externo,AFFF,AB,25 Lts,,5/2023,,,,1105,51974,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,305,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,5 Kg,6/2021,6/2021,,,,1106,3104,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,306,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,5 Kg,6/2021,6/2021,,,,1107,2674,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,307,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,5 Kg,6/2021,6/2021,,,,1108,2878,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,308,LOTE 101,,Pintura,Playa Elta antigranizo de Pintura,POLVO,ABC,5 Kg,6/2021,6/2021,,,,1109,4769,2011,Horizonte,En planta,,#N/A,#N/A,Cassaro
,309,LOTE 101,,Pintura,Lavadero de Pintura,POLVO,ABC,10 Kg,12/2020,12/2023,,,,1110,760731,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,310,LOTE 98,,Montaje,Col. A -11,POLVO,ABC,10 Kg,7/2021,7/2023,,,,491,625220,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,311,LOTE 98,,Montaje,Col. B - 11,CO2,BC,3.5 Kg,7/2021,7/2023,,,,492,855644,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,312,LOTE 98,,Montaje,Buy Part,POLVO,ABC,5 Kg,7/2021,7/2023,,,,493,648020,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,313,LOTE 98,,Montaje,Taller CEP,POLVO,ABC,10 Kg,7/2021,7/2023,,,,494,625322,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,314,LOTE 98,,Montaje,Mantenimiento Profesional,POLVO,ABC,10 Kg,7/2021,7/2023,,,,495,624834,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,315,LOTE 98,,Montaje,Col. B - 9,POLVO,ABC,10 Kg,7/2021,7/2023,,,,496,624862,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,316,LOTE 98,,Montaje,Enfermeria,CO2,BC,3.5 Kg,7/2021,7/2023,,,,497,855668,2018,Drago,En planta,,#N/A,#N/A,Cassaro
857548,317,LOTE 98,,Montaje,Sub Estacion - Montaje,CO2,BC,10 Kg,11/2020,11/2023,,,,498,855895,2018,Drago,En recarga,857548,#N/A,#N/A,Cassaro
857543,318,LOTE 98,,Montaje,Sub Estacion - Montaje,CO2,BC,10 Kg,11/2020,11/2023,,,,499,855894,2018,Drago,En recarga,857543,#N/A,#N/A,Cassaro
857405,319,LOTE 98,,Montaje,Sub Estacion - Montaje,CO2,BC,10 Kg,11/2020,11/2023,,,,500,855896,2018,Drago,En recarga,857405,#N/A,#N/A,Cassaro
,320,LOTE 98,,Montaje,Col. B - 7,POLVO,ABC,10 Kg,7/2021,7/2023,,,,501,625190,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,321,LOTE 98,,Montaje,Oficina Montaje - Logistica,CO2,BC,3.5 Kg,7/2021,7/2023,,,,502,855661,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,322,LOTE 98,,Montaje,Entre  Col. A y B -5,POLVO,ABC,10 Kg,7/2021,7/2023,,,,503,625401,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,323,LOTE 98,,Montaje,Col. B -5  Cabina de Cera,CO2,BC,10 Kg,11/2020,11/2023,,,,504,855852,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,324,LOTE 98,,Montaje,Oficina EHS - Ingenieria,CO2,BC,3.5 Kg,7/2021,7/2023,,,,505,855658,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,325,LOTE 98,,Montaje,Oficina Montaje - Logistica,CO2,BC,3.5 Kg,7/2021,7/2023,,,,506,855567,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,326,LOTE 98,,Montaje,Col. B - 3,POLVO,ABC,10 Kg,7/2021,7/2023,,,,507,657657,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,327,LOTE 98,,Montaje,Sala de Reunion - Conferencia,CO2,BC,3.5 Kg,7/2021,7/2023,,,,508,855580,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,328,LOTE 98,,Montaje,Sala de Reunion - Conferencia,POLVO,ABC,10 Kg,7/2021,7/2023,,,,509,625572,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,329,LOTE 98,,Montaje,Calidad - Analisis Vehiculos,POLVO,ABC,10 Kg,7/2021,7/2023,,,,510,625467,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,330,LOTE 98,,Montaje,Calidad - Analisis Vehiculos,POLVO,ABC,10 Kg,7/2021,7/2023,,,,511,625583,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,331,LOTE 98,,Montaje,Entre Col. C -5 y 6 Cabina de Cera,CO2,BC,10 Kg,11/2020,11/2023,,,,512,855892,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,332,LOTE 98,,Montaje,Col. D -11,POLVO,ABC,10 Kg,7/2021,7/2023,,,,513,657614,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,333,LOTE 98,,Montaje,Col. D - 10,CO2,BC,3.5 Kg,7/2021,7/2023,,,,514,855695,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,334,LOTE 98,,Montaje,Col. D - 9,POLVO,ABC,10 Kg,7/2021,7/2023,,,,515,625096,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,335,LOTE 98,,Montaje,Col. D - 8,CO2,BC,3.5 Kg,7/2021,7/2023,,,,516,855558,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,336,LOTE 98,,Montaje,col.D- 6,CO2,BC,3.5 Kg,7/2021,7/2023,,,,517,857141,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,337,LOTE 98,,Montaje,Col. D - 4,CO2,BC,3.5 Kg,7/2021,7/2023,,,,518,855584,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,338,LOTE 98,,Montaje,Col. D - 2,POLVO,ABC,10 Kg,7/2021,7/2023,,,,519,625104,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,339,LOTE 98,,Montaje,Col. E - 11,POLVO,ABC,10 Kg,7/2021,7/2023,,,,520,625301,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,340,LOTE 98,,Montaje,Col. E - 12,CO2,BC,3.5 Kg,7/2021,7/2023,,,,521,855673,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,341,LOTE 98,,Montaje,Col. F - 9,CO2,BC,3.5 Kg,7/2021,7/2023,,,,522,855557,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,342,LOTE 98,,Montaje,Col. F - 7,CO2,BC,3.5 Kg,7/2021,7/2023,,,,523,855576,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,343,LOTE 98,,Montaje,Col. F - 5,POLVO,ABC,10 Kg,7/2021,7/2023,,,,524,624892,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,344,LOTE 98,,Montaje,Col. F - 3,CO2,BC,10 Kg,11/2020,11/2023,,,,525,855882,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,345,LOTE 98,,Montaje,Col. F - 1    - Process Center,POLVO,ABC,10 Kg,7/2021,7/2023,,,,526,625550,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,346,LOTE 98,,Montaje,Col. G - 3,POLVO,ABC,10 Kg,7/2021,7/2023,,,,527,625337,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,347,LOTE 98,,Montaje,Piso Tecnico entre Col. G - 10 y 11,POLVO,ABC,10 Kg,7/2021,7/2023,,,,528,624799,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,348,LOTE 98,,Montaje,Piso Tecnico entre Col. G - 10 y 11,POLVO,ABC,10 Kg,3/2021,3/2023,,,,529,624955,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,349,LOTE 98,,Montaje,Col. G - 11,POLVO,ABC,10 Kg,6/2020,6/2023,,,,530,625053,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,350,LOTE 98,,Montaje,Col. H - 12,POLVO,ABC,10 Kg,7/2021,7/2023,,,,531,625253,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,351,LOTE 98,,Montaje,Col. H - 10,CO2,BC,3.5 Kg,7/2021,7/2023,,,,532,855675,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,352,LOTE 98,,Montaje,Entre Col. H - 8,CO2,BC,3.5 Kg,7/2021,7/2023,,,,533,855568,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,353,LOTE 98,,Montaje,Entre Col. H - 6,POLVO,ABC,10 Kg,7/2021,7/2023,,,,534,625264,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,354,LOTE 98,,Montaje,Entre Col. H - 4,POLVO,ABC,10 Kg,7/2021,7/2023,,,,535,625200,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
855863,355,LOTE 98,,Montaje,Entre Col. H  (3 y 4 bis),CO2,BC,10 Kg,11/2020,11/2023,,,,536,855866,2018,Drago,En recarga,855863,#N/A,#N/A,Cassaro
,356,LOTE 98,,Montaje,Entre Col. H  (3 y 4),POLVO,ABC,25 Kg,7/2021,7/2023,,,,537,52131,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,357,LOTE 98,,Montaje,Col. H - 2,POLVO,ABC,10 Kg,7/2021,7/2023,,,,538,625229,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,358,LOTE 98,,Montaje,Col. H - 1,POLVO,ABC,10 Kg,7/2021,7/2023,,,,539,625485,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,359,LOTE 98,,Montaje,Col. I - 3,AFFF,AB,100 Lts,7/2021,7/2022,,,,540,51030,2018,Melisan,En planta,,#N/A,#N/A,Cassaro
,360,LOTE 98,,Montaje,Col. I - 9,CO2,BC,3.5 Kg,7/2021,7/2023,,,,541,855689,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,361,LOTE 98,,Montaje,Col. L - 11,POLVO,ABC,10 Kg,7/2021,7/2023,,,,542,625398,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,362,LOTE 98,,Montaje,Col. L - 9,CO2,BC,3.5 Kg,7/2021,7/2023,,,,543,855585,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,363,LOTE 98,,Montaje,Col. L - 7,CO2,BC,3.5 Kg,7/2021,7/2023,,,,544,855694,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,364,LOTE 98,,Montaje,Col. L - 5,CO2,BC,3.5 Kg,7/2021,7/2023,,,,545,855577,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,365,LOTE 98,,Montaje,Col. L - 3,POLVO,ABC,10 Kg,7/2021,7/2023,,,,546,625109,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,366,LOTE 98,,Montaje,Col. L - 1,POLVO,ABC,10 Kg,3/2021,3/2023,,,,547,625208,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,367,LOTE 98,,Montaje,Col. M - 12,POLVO,ABC,10 Kg,7/2021,7/2023,,,,548,625290,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,368,LOTE 98,,Montaje,Col. N - 10,POLVO,ABC,10 Kg,7/2021,7/2023,,,,549,625209,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,369,LOTE 98,,Montaje,Col. N - 8,POLVO,ABC,10 Kg,7/2021,7/2023,,,,550,625402,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,370,LOTE 98,,Montaje,Col. N - 6,POLVO,ABC,10 Kg,7/2021,7/2023,,,,551,657640,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,371,LOTE 98,,Montaje,Col. N - 4,POLVO,ABC,10 Kg,7/2021,7/2023,,,,552,625595,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,372,LOTE 98,,Montaje,Col. N - 2,POLVO,ABC,10 Kg,7/2021,7/2023,,,,553,625205,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,373,LOTE 98,,Montaje,Col. N - 1,POLVO,ABC,10 Kg,7/2021,7/2023,,,,554,625233,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,374,LOTE 98,,Montaje,Tunel a pista  Montaje,POLVO,ABC,5 Kg,7/2020,7/2023,,,,555,648030,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,375,LOTE 98,,Montaje,Alero Norte Montaje,POLVO,ABC,5 Kg,7/2021,7/2023,,,,557,648016,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,376,LOTE 98,,Montaje,Tunel a pista  Montaje,POLVO,ABC,5 Kg,7/2020,7/2023,,,,556,648010,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,377,LOTE 98,,Montaje,Alero Norte Montaje,POLVO,ABC,5 Kg,7/2021,7/2023,,,,558,647013,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,378,LOTE 98,,Montaje,Col F-13,POLVO,ABC,5 Kg,7/2020,7/2023,,,,559,648028,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,379,LOTE 98,,Montaje,Grupo Electrogeno Montaje,POLVO,ABC,10 Kg,7/2021,7/2023,,,,560,625557,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,380,LOTE 98,,Montaje,Alero Sur Montaje,POLVO,ABC,5 Kg,7/2021,7/2023,,,,561,647432,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,381,LOTE 98,,Montaje,Alero Sur Montaje,POLVO,ABC,5 Kg,7/2021,7/2023,,,,562,648017,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,382,LOTE 98,,Montaje,Alero Sur Montaje,POLVO,ABC,5 Kg,7/2021,7/2023,,,,563,648011,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,383,LOTE 98,,Montaje,Vestuario de Montaje,POLVO,ABC,10 Kg,7/2021,7/2023,,,,564,625271,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,384,LOTE 98,,Montaje,Vestuario de Montaje,POLVO,ABC,10 Kg,7/2021,7/2023,,,,565,625381,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,385,LOTE 98,,Montaje,Col. E/5 - 6  Montaje,CO2,BC,3.5 Kg,7/2021,7/2023,,,,566,855674,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,386,LOTE 98,,Montaje,Col. E- 7  Montaje,POLVO,ABC,25 Kg,7/2021,7/2023,,,,567,51954,2018,Melisan,En planta,,#N/A,#N/A,Cassaro
,387,LOTE 98,,Montaje,Comunication Center,POLVO,ABC,5 Kg,7/2021,7/2023,,,,568,760398,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,388,LOTE 98,,Montaje,Comunication Center,POLVO,ABC,5 Kg,7/2021,7/2023,,,,569,760354,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,389,LOTE 98,,Montaje,Process Center,POLVO,ABC,10 Kg,7/2021,7/2023,,,,572,676015,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,390,LOTE 98,,ELTA,Oficinas Playa Elta - interno,POLVO,ABC,10 Kg,7/2021,7/2023,,,,931,675846,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,391,LOTE 98,,ELTA,Oficinas Playa Elta - externo,POLVO,ABC,10 Kg,7/2021,7/2023,,,,932,625298,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,392,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,7/2021,7/2023,,,,933,647217,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,393,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,7/2021,7/2023,,,,934,647227,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,394,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,7/2021,7/2023,,,,935,647645,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,395,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,7/2021,7/2023,,,,936,647597,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,396,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,7/2021,7/2023,,,,937,647692,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,397,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,7/2021,7/2023,,,,938,647693,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,398,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,7/2021,7/2023,,,,939,647995,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,399,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,7/2021,7/2023,,,,940,646997,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,400,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,7/2021,7/2023,,,,941,647999,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,401,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,942,886641,2019,Melisan,En planta,,#N/A,#N/A,Cassaro
,402,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,943,886802,2019,Melisan,En planta,,#N/A,#N/A,Cassaro
,403,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,944,686556,2019,Melisan,En planta,,#N/A,#N/A,Cassaro
,404,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,945,886604,2019,Melisan,En planta,,#N/A,#N/A,Cassaro
,405,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,946,800040,2019,Melisan,En planta,,#N/A,#N/A,Cassaro
,406,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2023,,,,947,674237,2018,Melisan,En planta,,#N/A,#N/A,Cassaro
,407,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2023,,,,948,674198,2018,Melisan,En planta,,#N/A,#N/A,Cassaro
,408,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,949,886543,2019,Melisan,En planta,,#N/A,#N/A,Cassaro
,409,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2023,,,,950,672970,2018,Melisan,En planta,,#N/A,#N/A,Cassaro
,410,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,1057,799981,2018,Melisan,En planta,,#N/A,#N/A,Cassaro
,411,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2023,,,,1058,673695,2018,Melisan,En planta,,#N/A,#N/A,Cassaro
,412,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2023,,,,1059,673926,2018,Melisan,En planta,,#N/A,#N/A,Cassaro
,413,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,1060,886895,2019,Melisan,En planta,,#N/A,#N/A,Cassaro
,414,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,1061,886386,2019,Melisan,En planta,,#N/A,#N/A,Cassaro
,415,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2023,,,,1062,760755,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,416,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,1063,886781,2019,Melisan,En planta,,#N/A,#N/A,Cassaro
,417,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,1064,886698,2019,Melisan,En planta,,#N/A,#N/A,Cassaro
,418,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2023,,,,1065,674012,2018,Melisan,En planta,,#N/A,#N/A,Cassaro
,419,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2024,,,,1066,886798,2019,Melisan,En planta,,#N/A,#N/A,Cassaro
,420,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2023,,,,1067,673748,2018,Melisan,En planta,,#N/A,#N/A,Cassaro
,421,LOTE 98,,ELTA,Playa Elta,POLVO,ABC,5 Kg,6/2021,6/2023,,,,1068,674017,2018,Melisan,En planta,,#N/A,#N/A,Cassaro
1554,422,LOTE 98,,Almacén indirectos,Almacen Indirecto FCA,CO2,BC,5 Kg,12/2020,12/2021,,,,951,855736,2018,Drago,En recarga,1554,#N/A,#N/A,Cassaro
300173,423,LOTE 98,,Almacén indirectos,Almacen Indirecto FCA,AFFF,AB,10 Lts,12/2020,12/2020,,,,952,468742,2018,Melisan,En recarga,300173,#N/A,#N/A,Cassaro
468250,424,LOTE 98,,Almacén indirectos,Almacen Indirecto FCA,AFFF,AB,10 Lts,12/2020,12/2020,,,,954,468490,2018,Melisan,En recarga,468250,#N/A,#N/A,Cassaro
468437,425,LOTE 98,,Almacén indirectos,Almacen Indirecto FCA,AFFF,AB,10 Lts,12/2020,12/2020,,,,955,468431,2018,Melisan,En recarga,468437,#N/A,#N/A,Cassaro
855654,426,LOTE 98,,Almacén indirectos,Almacen Indirecto FCA,CO2,BC,3.5 Kg,7/2021,7/2023,,,,956,855679,2018,Drago,En recarga,855654,#N/A,#N/A,Cassaro
300177,427,LOTE 98,,Almacén indirectos,Almacen Indirecto FCA,AFFF,AB,10 Lts,12/2020,12/2020,,,,957,468474,2018,Melisan,En recarga,300177,#N/A,#N/A,Cassaro
52121,428,LOTE 98,,Almacén indirectos,Almacen Indirecto FCA,AFFF,AB,25 Lts,5/2021,5/2022,,,,958,52166,2018,Melisan,En recarga,52121,K,5/2021,Cassaro
,429,LOTE 98,,Seguridad Patrimonial,Guardia Pto. N° 5,POLVO,ABC,10 Kg,3/2021,3/2025,,,,966,657845,2010,Horizonte,En planta,,#N/A,#N/A,Cassaro
,430,LOTE 98,,Instalaciones Generales,Sub Estación de gas Puesto 5,POLVO,ABC,5 Kg,12/2020,12/2023,,,,867,657184,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,431,LOTE 98,,Instalaciones Generales,Sub Estación de gas Puesto 5,POLVO,ABC,5 Kg,12/2020,12/2023,,,,868,657340,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,432,LOTE 98,,Instalaciones Generales,Sub Estación de gas Puesto 5,POLVO,ABC,5 Kg,5/2021,5/2023,,,,969,657112,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,433,LOTE 98,,Instalaciones Generales,Sub Estaciónde gas Puesto 5,POLVO,ABC,5 Kg,5/2021,12/2023,,,,970,760538,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
858289,434,LOTE 98,,Instalaciones Generales,Sub Estacion - Ex Uno - Duna,CO2,BC,10 Kg,12/2020,12/2023,,,,971,105535,2018,Yukon,En recarga,858289,#N/A,#N/A,Cassaro
858703,435,LOTE 98,,Instalaciones Generales,Sub Estacion - Ex Uno - Duna,CO2,BC,10 Kg,12/2020,12/2023,,,,972,106667,2018,Yukon,En recarga,858703,#N/A,#N/A,Cassaro
,436,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,10 Kg,12/2020,12/2022,,,,973,186541,2017,Melisam,En planta,,#N/A,#N/A,Cassaro
,437,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,10 Kg,12/2020,12/2022,,,,974,186551,2017,Melisam,En planta,,#N/A,#N/A,Cassaro
,438,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,10 Kg,12/2020,12/2022,,,,975,186593,2017,Melisam,En planta,,#N/A,#N/A,Cassaro
,439,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,10 Kg,12/2020,12/2022,,,,976,186569,2017,Melisam,En planta,,#N/A,#N/A,Cassaro
,440,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,10 Kg,12/2020,12/2022,,,,977,186734,2017,Melisam,En planta,,#N/A,#N/A,Cassaro
,441,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,10 Kg,12/2020,12/2022,,,,978,186770,2017,Melisam,En planta,,#N/A,#N/A,Cassaro
,442,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,10 Kg,12/2020,12/2022,,,,979,186773,2017,Melisam,En planta,,#N/A,#N/A,Cassaro
